mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_w,param_beta,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
43.45134425163269,0.0,1.2572805881500244,0.0,5,0.001,"{'w': 5, 'beta': 0.001}",0.0,0.0,0.0,91
38.27049136161804,0.0,1.7043735980987549,0.0,10,0.001,"{'w': 10, 'beta': 0.001}",0.0,0.0,0.0,91
30.379404544830322,0.0,1.725508689880371,0.0,15,0.001,"{'w': 15, 'beta': 0.001}",0.0,0.0,0.0,91
36.50352168083191,0.0,2.935220718383789,0.0,20,0.001,"{'w': 20, 'beta': 0.001}",0.0,0.0,0.0,91
38.88262677192688,0.0,2.754222869873047,0.0,25,0.001,"{'w': 25, 'beta': 0.001}",0.0,0.0,0.0,91
29.932751178741455,0.0,3.3224194049835205,0.0,30,0.001,"{'w': 30, 'beta': 0.001}",0.0,0.0,0.0,91
36.00659728050232,0.0,2.1387619972229004,0.0,35,0.001,"{'w': 35, 'beta': 0.001}",0.0,0.0,0.0,91
41.38983964920044,0.0,2.529608964920044,0.0,40,0.001,"{'w': 40, 'beta': 0.001}",0.0,0.0,0.0,91
47.823323488235474,0.0,1.8914246559143066,0.0,45,0.001,"{'w': 45, 'beta': 0.001}",0.0,0.0,0.0,91
53.65163064002991,0.0,1.1412570476531982,0.0,50,0.001,"{'w': 50, 'beta': 0.001}",0.0,0.0,0.0,91
14.141852378845215,0.0,14.061254262924194,0.0,5,0.112,"{'w': 5, 'beta': 0.112}",0.4155040878139407,0.4155040878139407,0.0,17
14.760024309158325,0.0,12.328291893005371,0.0,10,0.112,"{'w': 10, 'beta': 0.112}",0.3269216225748405,0.3269216225748405,0.0,76
10.246066808700562,0.0,13.091213464736938,0.0,15,0.112,"{'w': 15, 'beta': 0.112}",0.31356083515210326,0.31356083515210326,0.0,77
27.388922929763794,0.0,9.996160984039307,0.0,20,0.112,"{'w': 20, 'beta': 0.112}",0.09136385982227997,0.09136385982227997,0.0,84
24.644110202789307,0.0,8.761090993881226,0.0,25,0.112,"{'w': 25, 'beta': 0.112}",0.060296454828716456,0.060296454828716456,0.0,90
28.03007173538208,0.0,5.363121271133423,0.0,30,0.112,"{'w': 30, 'beta': 0.112}",0.06058347137720128,0.06058347137720128,0.0,88
38.81161379814148,0.0,3.7475316524505615,0.0,35,0.112,"{'w': 35, 'beta': 0.112}",0.06058374657158751,0.06058374657158751,0.0,87
