mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_r0,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
44.3313992023468,0.0,6.916162729263306,0.0,0.001,{'r0': 0.001},0.6828340751805092,0.6828340751805092,0.0,1
55.54014611244202,0.0,4.604060888290405,0.0,0.056,{'r0': 0.056},0.29607593476887717,0.29607593476887717,0.0,10
55.30750370025635,0.0,4.486624479293823,0.0,0.112,{'r0': 0.112},0.2971286877252182,0.2971286877252182,0.0,2
55.1834819316864,0.0,4.47061562538147,0.0,0.167,{'r0': 0.167},0.2971286877252182,0.2971286877252182,0.0,2
55.560405015945435,0.0,4.26973032951355,0.0,0.223,{'r0': 0.223},0.2971286877252182,0.2971286877252182,0.0,2
54.92932939529419,0.0,4.448707342147827,0.0,0.278,{'r0': 0.278},0.2971286877252182,0.2971286877252182,0.0,2
54.786354541778564,0.0,4.591058254241943,0.0,0.334,{'r0': 0.334},0.2971286877252182,0.2971286877252182,0.0,2
54.94620323181152,0.0,4.389824151992798,0.0,0.389,{'r0': 0.389},0.2971286877252182,0.2971286877252182,0.0,2
55.20002198219299,0.0,4.606062173843384,0.0,0.445,{'r0': 0.445},0.2971286877252182,0.2971286877252182,0.0,2
54.18766975402832,0.0,4.5656092166900635,0.0,0.5,{'r0': 0.5},0.2971286877252182,0.2971286877252182,0.0,2
