mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_r0,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
13.358426570892334,0.0,1.0515100955963135,0.0,0.001,{'r0': 0.001},1.0,1.0,0.0,1
11.252054691314697,0.0,1.6450366973876953,0.0,0.056,{'r0': 0.056},1.0,1.0,0.0,1
10.755199909210205,0.0,1.8680696487426758,0.0,0.112,{'r0': 0.112},1.0,1.0,0.0,1
10.790440320968628,0.0,1.8817670345306396,0.0,0.167,{'r0': 0.167},1.0,1.0,0.0,1
10.915437459945679,0.0,1.8600823879241943,0.0,0.223,{'r0': 0.223},1.0,1.0,0.0,1
10.63832426071167,0.0,1.8358688354492188,0.0,0.278,{'r0': 0.278},1.0,1.0,0.0,1
10.937833547592163,0.0,1.824045181274414,0.0,0.334,{'r0': 0.334},1.0,1.0,0.0,1
10.682212114334106,0.0,1.8502960205078125,0.0,0.389,{'r0': 0.389},1.0,1.0,0.0,1
10.48016905784607,0.0,1.8730990886688232,0.0,0.445,{'r0': 0.445},1.0,1.0,0.0,1
10.984443187713623,0.0,1.8379554748535156,0.0,0.5,{'r0': 0.5},1.0,1.0,0.0,1
