mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_r0,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
14.583807229995728,0.0,1.03421950340271,0.0,0.001,{'r0': 0.001},1.0,1.0,0.0,1
11.397769451141357,0.0,1.804917573928833,0.0,0.056,{'r0': 0.056},1.0,1.0,0.0,1
11.3307523727417,0.0,1.7970616817474365,0.0,0.112,{'r0': 0.112},1.0,1.0,0.0,1
11.351757287979126,0.0,1.8599257469177246,0.0,0.167,{'r0': 0.167},1.0,1.0,0.0,1
11.129985809326172,0.0,1.763068437576294,0.0,0.223,{'r0': 0.223},1.0,1.0,0.0,1
11.335750579833984,0.0,1.8257534503936768,0.0,0.278,{'r0': 0.278},1.0,1.0,0.0,1
11.247224569320679,0.0,1.9057743549346924,0.0,0.334,{'r0': 0.334},1.0,1.0,0.0,1
11.646291017532349,0.0,1.7368855476379395,0.0,0.389,{'r0': 0.389},1.0,1.0,0.0,1
11.367247104644775,0.0,1.8080551624298096,0.0,0.445,{'r0': 0.445},1.0,1.0,0.0,1
11.215211153030396,0.0,1.837906837463379,0.0,0.5,{'r0': 0.5},1.0,1.0,0.0,1
