mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_pts,param_merge_threshold,param_alpha,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
5.335199594497681,0.0,0.42609453201293945,0.0,10,0.5,0.406,"{'min_pts': 10, 'merge_threshold': 0.5, 'alpha': 0.406}",0.0,0.0,0.0,88
17.317885875701904,0.0,3.0996992588043213,0.0,10,0.001,0.406,"{'min_pts': 10, 'merge_threshold': 0.001, 'alpha': 0.406}",0.0,0.0,0.0,88
6.2444024085998535,0.0,2.2915141582489014,0.0,10,0.389,0.208,"{'min_pts': 10, 'merge_threshold': 0.389, 'alpha': 0.208}",0.004571523882130604,0.004571523882130604,0.0,75
9.534137964248657,0.0,5.263183116912842,0.0,18,0.389,0.01,"{'min_pts': 18, 'merge_threshold': 0.389, 'alpha': 0.01}",-0.004559771370583214,-0.004559771370583214,0.0,100
5.89032506942749,0.0,0.8982036113739014,0.0,4,0.112,0.702,"{'min_pts': 4, 'merge_threshold': 0.112, 'alpha': 0.702}",0.05257066166769927,0.05257066166769927,0.0,29
6.345422983169556,0.0,1.4873342514038086,0.0,10,0.223,0.603,"{'min_pts': 10, 'merge_threshold': 0.223, 'alpha': 0.603}",0.07112936852293962,0.07112936852293962,0.0,23
10.14427900314331,0.0,3.065687417984009,0.0,10,0.056,0.603,"{'min_pts': 10, 'merge_threshold': 0.056, 'alpha': 0.603}",0.02300084182440165,0.02300084182440165,0.0,44
4.818077564239502,0.0,1.0382370948791504,0.0,6,0.389,0.801,"{'min_pts': 6, 'merge_threshold': 0.389, 'alpha': 0.801}",0.046030871936247185,0.046030871936247185,0.0,33
4.085917234420776,0.0,0.9992270469665527,0.0,4,0.5,0.603,"{'min_pts': 4, 'merge_threshold': 0.5, 'alpha': 0.603}",0.07446186923255532,0.07446186923255532,0.0,20
4.501010417938232,0.0,0.7191593647003174,0.0,2,0.5,0.01,"{'min_pts': 2, 'merge_threshold': 0.5, 'alpha': 0.01}",0.0,0.0,0.0,88
31.36303734779358,0.0,20.90221095085144,0.0,4,0.001,0.109,"{'min_pts': 4, 'merge_threshold': 0.001, 'alpha': 0.109}",0.0025490850401366813,0.0025490850401366813,0.0,81
6.49446177482605,0.0,2.1874887943267822,0.0,10,0.5,0.01,"{'min_pts': 10, 'merge_threshold': 0.5, 'alpha': 0.01}",0.0074815061392148425,0.0074815061392148425,0.0,67
6.326418399810791,0.0,2.546572208404541,0.0,16,0.389,0.504,"{'min_pts': 16, 'merge_threshold': 0.389, 'alpha': 0.504}",0.016873762836722917,0.016873762836722917,0.0,52
8.512908220291138,0.0,2.075467348098755,0.0,16,0.167,0.504,"{'min_pts': 16, 'merge_threshold': 0.167, 'alpha': 0.504}",0.24952911288452695,0.24952911288452695,0.0,4
7.315640687942505,0.0,1.3202979564666748,0.0,4,0.223,0.01,"{'min_pts': 4, 'merge_threshold': 0.223, 'alpha': 0.01}",0.14110576756004514,0.14110576756004514,0.0,12
5.5682432651519775,0.0,2.174489736557007,0.0,8,0.278,0.406,"{'min_pts': 8, 'merge_threshold': 0.278, 'alpha': 0.406}",0.031118641545606417,0.031118641545606417,0.0,39
5.400209665298462,0.0,0.7271637916564941,0.0,12,0.5,0.9,"{'min_pts': 12, 'merge_threshold': 0.5, 'alpha': 0.9}",0.179450609115916,0.179450609115916,0.0,8
8.810978174209595,0.0,2.1804897785186768,0.0,8,0.056,0.702,"{'min_pts': 8, 'merge_threshold': 0.056, 'alpha': 0.702}",0.06992055271068891,0.06992055271068891,0.0,25
12.010692596435547,0.0,2.731614351272583,0.0,10,0.167,0.01,"{'min_pts': 10, 'merge_threshold': 0.167, 'alpha': 0.01}",0.16055329080493427,0.16055329080493427,0.0,10
8.629937648773193,0.0,4.710056304931641,0.0,20,0.167,0.603,"{'min_pts': 20, 'merge_threshold': 0.167, 'alpha': 0.603}",0.0027048302995880216,0.0027048302995880216,0.0,80
12.920899868011475,0.0,3.1357014179229736,0.0,12,0.167,0.01,"{'min_pts': 12, 'merge_threshold': 0.167, 'alpha': 0.01}",0.02905926780209536,0.02905926780209536,0.0,40
9.424113988876343,0.0,5.048129320144653,0.0,18,0.223,0.109,"{'min_pts': 18, 'merge_threshold': 0.223, 'alpha': 0.109}",0.03595805155649355,0.03595805155649355,0.0,36
6.46744966506958,0.0,2.7936275005340576,0.0,12,0.278,0.406,"{'min_pts': 12, 'merge_threshold': 0.278, 'alpha': 0.406}",0.0027705619192649215,0.0027705619192649215,0.0,79
5.459222078323364,0.0,1.232276439666748,0.0,12,0.445,0.801,"{'min_pts': 12, 'merge_threshold': 0.445, 'alpha': 0.801}",0.021974534056572473,0.021974534056572473,0.0,45
6.343423843383789,0.0,2.1744890213012695,0.0,16,0.389,0.603,"{'min_pts': 16, 'merge_threshold': 0.389, 'alpha': 0.603}",-0.000528021424912816,-0.000528021424912816,0.0,97
6.017348051071167,0.0,2.071464776992798,0.0,14,0.445,0.406,"{'min_pts': 14, 'merge_threshold': 0.445, 'alpha': 0.406}",0.005915150420987782,0.005915150420987782,0.0,70
5.5402421951293945,0.0,1.332301139831543,0.0,12,0.445,0.603,"{'min_pts': 12, 'merge_threshold': 0.445, 'alpha': 0.603}",0.008932986155332208,0.008932986155332208,0.0,62
25.298195600509644,0.0,5.109147787094116,0.0,16,0.001,0.307,"{'min_pts': 16, 'merge_threshold': 0.001, 'alpha': 0.307}",0.001636689839713727,0.001636689839713727,0.0,83
9.50313115119934,0.0,2.616586685180664,0.0,18,0.167,0.208,"{'min_pts': 18, 'merge_threshold': 0.167, 'alpha': 0.208}",0.031411159116196304,0.031411159116196304,0.0,38
5.578254222869873,0.0,1.8124046325683594,0.0,12,0.5,0.307,"{'min_pts': 12, 'merge_threshold': 0.5, 'alpha': 0.307}",0.001003444160156979,0.001003444160156979,0.0,86
6.259408473968506,0.0,1.4573235511779785,0.0,10,0.167,0.702,"{'min_pts': 10, 'merge_threshold': 0.167, 'alpha': 0.702}",0.00111367883880161,0.00111367883880161,0.0,85
5.999346017837524,0.0,1.4543280601501465,0.0,6,0.112,0.801,"{'min_pts': 6, 'merge_threshold': 0.112, 'alpha': 0.801}",0.0357154401009306,0.0357154401009306,0.0,37
7.418666124343872,0.0,1.7793991565704346,0.0,6,0.056,0.801,"{'min_pts': 6, 'merge_threshold': 0.056, 'alpha': 0.801}",0.06801887867565969,0.06801887867565969,0.0,26
5.568249940872192,0.0,0.7261624336242676,0.0,10,0.334,0.406,"{'min_pts': 10, 'merge_threshold': 0.334, 'alpha': 0.406}",0.19999925334272758,0.19999925334272758,0.0,6
9.590155839920044,0.0,2.750615358352661,0.0,14,0.056,0.801,"{'min_pts': 14, 'merge_threshold': 0.056, 'alpha': 0.801}",0.018461346381262223,0.018461346381262223,0.0,49
9.221067905426025,0.0,4.951112747192383,0.0,18,0.112,0.504,"{'min_pts': 18, 'merge_threshold': 0.112, 'alpha': 0.504}",0.0007307364256309511,0.0007307364256309511,0.0,87
24.142937421798706,0.0,5.101144790649414,0.0,16,0.056,0.01,"{'min_pts': 16, 'merge_threshold': 0.056, 'alpha': 0.01}",0.0395496354109699,0.0395496354109699,0.0,35
28.451905250549316,0.0,1.4573264122009277,0.0,20,0.001,0.702,"{'min_pts': 20, 'merge_threshold': 0.001, 'alpha': 0.702}",0.019345022552810894,0.019345022552810894,0.0,47
3.743838310241699,0.0,0.36208152770996094,0.0,2,0.389,0.307,"{'min_pts': 2, 'merge_threshold': 0.389, 'alpha': 0.307}",0.0,0.0,0.0,88
5.052131414413452,0.0,0.9832196235656738,0.0,4,0.223,0.208,"{'min_pts': 4, 'merge_threshold': 0.223, 'alpha': 0.208}",0.08325986058991454,0.08325986058991454,0.0,17
5.090142726898193,0.0,1.0602385997772217,0.0,10,0.334,0.9,"{'min_pts': 10, 'merge_threshold': 0.334, 'alpha': 0.9}",0.06257732677375302,0.06257732677375302,0.0,27
6.909552097320557,0.0,1.9764444828033447,0.0,16,0.278,0.406,"{'min_pts': 16, 'merge_threshold': 0.278, 'alpha': 0.406}",0.01901712419811462,0.01901712419811462,0.0,48
7.862768888473511,0.0,2.4890778064727783,0.0,12,0.334,0.01,"{'min_pts': 12, 'merge_threshold': 0.334, 'alpha': 0.01}",0.15385427994969741,0.15385427994969741,0.0,11
4.355976581573486,0.0,0.7351651191711426,0.0,4,0.5,0.109,"{'min_pts': 4, 'merge_threshold': 0.5, 'alpha': 0.109}",0.2634922929449384,0.2634922929449384,0.0,2
8.127822160720825,0.0,5.084661960601807,0.0,18,0.167,0.801,"{'min_pts': 18, 'merge_threshold': 0.167, 'alpha': 0.801}",0.004588267364318275,0.004588267364318275,0.0,74
6.024352788925171,0.0,1.3108153343200684,0.0,4,0.167,0.307,"{'min_pts': 4, 'merge_threshold': 0.167, 'alpha': 0.307}",0.05037976508636951,0.05037976508636951,0.0,31
8.43140959739685,0.0,2.4935646057128906,0.0,18,0.167,0.603,"{'min_pts': 18, 'merge_threshold': 0.167, 'alpha': 0.603}",0.0060235137479368725,0.0060235137479368725,0.0,69
6.929076194763184,0.0,2.202493190765381,0.0,12,0.278,0.208,"{'min_pts': 12, 'merge_threshold': 0.278, 'alpha': 0.208}",0.009021593177523067,0.009021593177523067,0.0,61
5.3957343101501465,0.0,0.7561674118041992,0.0,6,0.223,0.702,"{'min_pts': 6, 'merge_threshold': 0.223, 'alpha': 0.702}",0.12619282645736699,0.12619282645736699,0.0,13
7.215140342712402,0.0,1.4053151607513428,0.0,14,0.278,0.702,"{'min_pts': 14, 'merge_threshold': 0.278, 'alpha': 0.702}",0.07474547900270202,0.07474547900270202,0.0,19
7.207136869430542,0.0,3.9478859901428223,0.0,16,0.278,0.702,"{'min_pts': 16, 'merge_threshold': 0.278, 'alpha': 0.702}",-0.003480820118218959,-0.003480820118218959,0.0,98
5.073146820068359,0.0,0.9131984710693359,0.0,4,0.278,0.9,"{'min_pts': 4, 'merge_threshold': 0.278, 'alpha': 0.9}",0.05057295602909986,0.05057295602909986,0.0,30
4.607032060623169,0.0,0.43109655380249023,0.0,6,0.5,0.9,"{'min_pts': 6, 'merge_threshold': 0.5, 'alpha': 0.9}",0.0,0.0,0.0,88
5.840309143066406,0.0,2.5485713481903076,0.0,8,0.334,0.406,"{'min_pts': 8, 'merge_threshold': 0.334, 'alpha': 0.406}",0.010186792712650041,0.010186792712650041,0.0,60
6.346425533294678,0.0,2.826634168624878,0.0,8,0.223,0.801,"{'min_pts': 8, 'merge_threshold': 0.223, 'alpha': 0.801}",0.07263252701782581,0.07263252701782581,0.0,21
5.929330110549927,0.0,0.878197193145752,0.0,8,0.389,0.504,"{'min_pts': 8, 'merge_threshold': 0.389, 'alpha': 0.504}",0.024323481427378543,0.024323481427378543,0.0,43
9.822205305099487,0.0,1.8554177284240723,0.0,16,0.112,0.504,"{'min_pts': 16, 'merge_threshold': 0.112, 'alpha': 0.504}",0.011834064715431723,0.011834064715431723,0.0,57
5.975340127944946,0.0,1.4003145694732666,0.0,10,0.278,0.603,"{'min_pts': 10, 'merge_threshold': 0.278, 'alpha': 0.603}",0.027638742402172678,0.027638742402172678,0.0,41
8.49090576171875,0.0,2.640592336654663,0.0,20,0.445,0.109,"{'min_pts': 20, 'merge_threshold': 0.445, 'alpha': 0.109}",0.0041590694011320855,0.0041590694011320855,0.0,77
12.211737394332886,0.0,2.2084970474243164,0.0,16,0.056,0.504,"{'min_pts': 16, 'merge_threshold': 0.056, 'alpha': 0.504}",0.00559334374578922,0.00559334374578922,0.0,71
6.488452911376953,0.0,3.085693597793579,0.0,14,0.278,0.9,"{'min_pts': 14, 'merge_threshold': 0.278, 'alpha': 0.9}",0.010951911934937929,0.010951911934937929,0.0,58
10.587374687194824,0.0,1.2002696990966797,0.0,10,0.056,0.406,"{'min_pts': 10, 'merge_threshold': 0.056, 'alpha': 0.406}",0.17743881201546657,0.17743881201546657,0.0,9
5.195165395736694,0.0,1.0812430381774902,0.0,4,0.389,0.603,"{'min_pts': 4, 'merge_threshold': 0.389, 'alpha': 0.603}",0.04493253195478065,0.04493253195478065,0.0,34
7.319639444351196,0.0,0.4090914726257324,0.0,20,0.278,0.504,"{'min_pts': 20, 'merge_threshold': 0.278, 'alpha': 0.504}",0.24267163451109333,0.24267163451109333,0.0,5
5.1591572761535645,0.0,0.795177698135376,0.0,8,0.5,0.504,"{'min_pts': 8, 'merge_threshold': 0.5, 'alpha': 0.504}",0.02740770367196458,0.02740770367196458,0.0,42
6.058356761932373,0.0,2.513573169708252,0.0,18,0.278,0.208,"{'min_pts': 18, 'merge_threshold': 0.278, 'alpha': 0.208}",-0.00409138245019555,-0.00409138245019555,0.0,99
5.288186550140381,0.0,0.9312143325805664,0.0,10,0.278,0.109,"{'min_pts': 10, 'merge_threshold': 0.278, 'alpha': 0.109}",0.018390921274322538,0.018390921274322538,0.0,50
