memory_r0,time_r0,clusters,memory_r1,time_r1,memory_r2,time_r2,memory_r3,time_r3,memory_r4,time_r4
2.0020904541015625,0.00013429997488856316,0,2.0020904541015625,0.00013539998326450586,2.0020904541015625,0.0001962999813258648,2.0020904541015625,0.00013150001177564263,2.0020904541015625,0.00012909999350085855
0.0058746337890625,9.850005153566599e-05,0,0.0058746337890625,0.0001058999914675951,0.0058746337890625,0.00012200005585327744,0.0058746337890625,0.00010410003596916795,0.0058746337890625,0.00010160001693293452
0.0078582763671875,7.989996811375022e-05,0,0.0078582763671875,8.949998300522566e-05,0.0078582763671875,9.689998114481568e-05,0.0078582763671875,8.730002446100116e-05,0.0078582763671875,8.990004425868392e-05
0.0098114013671875,7.759995060041547e-05,0,0.0098114013671875,8.460000390186906e-05,0.0098114013671875,9.599997429177165e-05,0.0098114013671875,8.699996396899223e-05,0.0098114013671875,8.139997953549027e-05
0.0117645263671875,0.00010169995948672295,0,0.0117645263671875,8.970004273578525e-05,0.0117645263671875,0.00010429997928440571,0.0117645263671875,9.650003630667925e-05,0.0117645263671875,9.049999061971903e-05
0.0137176513671875,0.00010080001084133983,0,0.0137176513671875,8.85000335983932e-05,0.0137176513671875,9.879999561235309e-05,0.0137176513671875,8.9899986051023e-05,0.0137176513671875,8.490000618621707e-05
0.0156707763671875,9.980000322684646e-05,0,0.0156707763671875,9.109999518841505e-05,0.0156707763671875,0.00010050000855699182,0.0156707763671875,9.970000246539712e-05,0.0156707763671875,8.750002598389983e-05
0.0176239013671875,8.9599983766675e-05,0,0.0176239013671875,9.200000204145908e-05,0.0176239013671875,0.00010349997319281101,0.0176239013671875,9.349995525553823e-05,0.0176239013671875,8.889997843652964e-05
0.0195770263671875,8.510000770911574e-05,0,0.0195770263671875,9.23000043258071e-05,0.0195770263671875,0.00010289996862411499,0.0195770263671875,9.360001422464848e-05,0.0195770263671875,8.85000335983932e-05
0.02666473388671875,0.0034739000257104635,1,0.02666473388671875,0.0037068999954499304,0.02666473388671875,0.004660699982196093,0.02666473388671875,0.00519890000578016,0.02666473388671875,0.0036903000436723232
2.0269393920898438,0.00019289995543658733,1,2.0269393920898438,0.0002099000266753137,2.0269393920898438,0.0002319000195711851,2.0269393920898438,0.0002039000391960144,2.0269393920898438,0.00019509997218847275
0.03072357177734375,0.0001860000193119049,1,0.03072357177734375,0.00026379997143521905,0.03072357177734375,0.00023650005459785461,0.03072357177734375,0.00020299997413530946,0.03072357177734375,0.00019669998437166214
0.02912139892578125,0.00031949998810887337,1,0.02912139892578125,0.00041939999209716916,0.02912139892578125,0.00040010001976042986,0.02912139892578125,0.0003457000129856169,0.02912139892578125,0.0003277999931015074
0.03143310546875,0.00030590000096708536,1,0.03143310546875,0.00040850002551451325,0.03143310546875,0.0003904000041075051,0.03143310546875,0.00032900000223889947,0.03143310546875,0.00033660000190138817
0.03377532958984375,0.0003215000033378601,1,0.03377532958984375,0.0003983000060543418,0.03377532958984375,0.0004047999973408878,0.03377532958984375,0.00033430004259571433,0.03377532958984375,0.0003284999984316528
0.0361480712890625,0.0003410999779589474,1,0.0361480712890625,0.0003961000475101173,0.0361480712890625,0.0003982999478466809,0.0361480712890625,0.0003396999672986567,0.0361480712890625,0.00045470002805814147
0.03855133056640625,0.00041360000614076853,1,0.03855133056640625,0.00034420000156387687,0.03855133056640625,0.00041799998143687844,0.03855133056640625,0.00034769997000694275,0.03855133056640625,0.0004159000236541033
0.040985107421875,0.00034660001983866096,1,0.040985107421875,0.00035500002559274435,0.040985107421875,0.0004227000172249973,0.040985107421875,0.0003738999948836863,0.040985107421875,0.00039760000072419643
0.04344940185546875,0.00044029997661709785,1,0.04344940185546875,0.00036780000664293766,0.04344940185546875,0.0004409999819472432,0.04344940185546875,0.0003831000067293644,0.04344940185546875,0.0003659999929368496
0.0459442138671875,0.0003554000286385417,1,0.0459442138671875,0.00036910001654177904,0.0459442138671875,0.0005097999819554389,0.0459442138671875,0.0003844000166282058,0.0459442138671875,0.0003696000203490257
0.04846954345703125,0.00038329995004460216,1,0.04846954345703125,0.0003831000067293644,0.04846954345703125,0.0005006999708712101,0.04846954345703125,0.00041119998786598444,0.04846954345703125,0.0003934000269509852
0.051025390625,0.00036180001916363835,1,0.051025390625,0.00038049998693168163,0.051025390625,0.0005066999583505094,0.051025390625,0.00039900001138448715,0.051025390625,0.0003846999607048929
0.05361175537109375,0.00039190001552924514,1,0.05361175537109375,0.00039870000910013914,0.05361175537109375,0.0004967999993823469,0.05361175537109375,0.0004199999966658652,0.05361175537109375,0.0004037999897263944
0.0562286376953125,0.0003871999797411263,1,0.0562286376953125,0.0004895000020042062,0.0562286376953125,0.0004778000293299556,0.0562286376953125,0.0004175999783910811,0.0562286376953125,0.0004091999726369977
0.05887603759765625,0.0004138000076636672,1,0.05887603759765625,0.00044710002839565277,0.05887603759765625,0.00046880001900717616,0.05887603759765625,0.00045519997365772724,0.05887603759765625,0.00042830000165849924
0.061553955078125,0.000403700047172606,1,0.061553955078125,0.0004267999902367592,0.061553955078125,0.00046529999235644937,0.061553955078125,0.0004456000169739127,0.061553955078125,0.0004259999841451645
0.06426239013671875,0.00043699995148926973,1,0.06426239013671875,0.00044599996181204915,0.06426239013671875,0.00046419998398050666,0.06426239013671875,0.000451300002168864,0.06426239013671875,0.00045870000030845404
0.0670013427734375,0.0005999999702908099,1,0.0670013427734375,0.00047339999582618475,0.0670013427734375,0.0005197999998927116,0.0670013427734375,0.000490599952172488,0.0670013427734375,0.0004755000118166208
