memory_r0,time_r0,clusters,memory_r1,time_r1,memory_r2,time_r2,memory_r3,time_r3,memory_r4,time_r4
0.040985107421875,9.590000263415277e-05,0,0.040985107421875,9.669997962191701e-05,0.040985107421875,0.00010820000898092985,0.040985107421875,9.849999332800508e-05,0.040985107421875,9.449999197386205e-05
0.0019683837890625,8.72999953571707e-05,0,0.0019683837890625,9.009998757392168e-05,0.0019683837890625,0.00010270002530887723,0.0019683837890625,9.320001117885113e-05,0.0019683837890625,9.00000159163028e-05
0.00201416015625,7.259999983943999e-05,0,0.00201416015625,9.539999882690609e-05,0.00201416015625,9.529999806545675e-05,0.00201416015625,8.109997725114226e-05,0.00201416015625,7.88999896030873e-05
0.0020294189453125,7.179999374784529e-05,0,0.0020294189453125,7.619999814778566e-05,0.0020294189453125,8.880000677891076e-05,0.0020294189453125,7.85999873187393e-05,0.0020294189453125,7.589999586343765e-05
0.002044677734375,7.000000914558768e-05,0,0.002044677734375,7.43999844416976e-05,0.002044677734375,8.72999953571707e-05,0.002044677734375,7.770000956952572e-05,0.002044677734375,7.529999129474163e-05
0.0020599365234375,6.960000609979033e-05,0,0.0020599365234375,7.460001506842673e-05,0.0020599365234375,8.689999231137335e-05,0.0020599365234375,7.690000347793102e-05,0.0020599365234375,8.159998105838895e-05
0.0020751953125,6.78999931551516e-05,0,0.0020751953125,7.389998063445091e-05,0.0020751953125,8.699999307282269e-05,0.0020751953125,7.6299998909235e-05,0.0020751953125,7.550002192147076e-05
0.0020904541015625,6.859999848529696e-05,0,0.0020904541015625,7.40000104997307e-05,0.0020904541015625,0.00015259999781847,0.0020904541015625,7.599999662488699e-05,0.0020904541015625,7.420001202262938e-05
0.002105712890625,6.839999696239829e-05,0,0.002105712890625,7.390000973828137e-05,0.002105712890625,8.969998452812433e-05,0.002105712890625,7.6299998909235e-05,0.002105712890625,7.389998063445091e-05
0.00531768798828125,0.003236999997170642,1,0.00531768798828125,0.0035801000194624066,0.00531768798828125,0.004368499998236075,0.00531768798828125,0.003644899989012629,0.00531768798828125,0.0035786000080406666
0.00580596923828125,0.00035829999251291156,1,0.00580596923828125,0.00045610000961460173,0.00580596923828125,0.0003733999910764396,0.00580596923828125,0.0003389999910723418,0.00580596923828125,0.0003252000024076551
0.0061798095703125,0.0002829000004567206,1,0.0061798095703125,0.0003978000022470951,0.0061798095703125,0.00033840001560747623,0.0061798095703125,0.000301799998851493,0.0061798095703125,0.0002880000101868063
0.00658416748046875,0.0002837000065483153,1,0.00658416748046875,0.0003056999994441867,0.00658416748046875,0.0003519000019878149,0.00658416748046875,0.00030139999580569565,0.00658416748046875,0.00029120000544935465
0.00658416748046875,0.00014399999054148793,1,0.00658416748046875,0.000155999994603917,0.00658416748046875,0.0001915999746415764,0.00658416748046875,0.0001626000157557428,0.00658416748046875,0.0001576000067871064
0.00701904296875,0.00026649999199435115,1,0.00701904296875,0.00028639999800361693,0.00701904296875,0.00037510000402107835,0.00701904296875,0.00031859998125582933,0.00701904296875,0.0003043000178877264
0.00748443603515625,0.00028119998751208186,1,0.00748443603515625,0.0003004999889526516,0.00748443603515625,0.0003625999961514026,0.00748443603515625,0.0003102000046055764,0.00748443603515625,0.0003066000062972307
0.0079803466796875,0.00027889999910257757,1,0.0079803466796875,0.00029120000544935465,0.0079803466796875,0.0003688999859150499,0.0079803466796875,0.0003229999856557697,0.0079803466796875,0.00032110000029206276
0.00850677490234375,0.0003782999992836267,1,0.00850677490234375,0.0003212000010535121,0.00850677490234375,0.0003969999961555004,0.00850677490234375,0.0003341999836266041,0.00850677490234375,0.00034219998633489013
0.009063720703125,0.00029850000282749534,1,0.009063720703125,0.0003124999930150807,0.009063720703125,0.00039889998151920736,0.009063720703125,0.00034080000477842987,0.009063720703125,0.0004006999952252954
0.009063720703125,0.00014379998901858926,1,0.009063720703125,0.00015369997709058225,0.009063720703125,0.0001981999957934022,0.009063720703125,0.00016140000661835074,0.009063720703125,0.0001686000032350421
0.00965118408203125,0.00032759999157860875,1,0.00965118408203125,0.0003321999975014478,0.00965118408203125,0.00042749999556690454,0.00965118408203125,0.0003701999958138913,0.00965118408203125,0.00036689999978989363
0.0102691650390625,0.0004133000038564205,1,0.0102691650390625,0.00032309998641721904,0.0102691650390625,0.0004104999825358391,0.0102691650390625,0.0009494999831076711,0.0102691650390625,0.0003358999965712428
0.01091766357421875,0.00036450001061894,1,0.01091766357421875,0.00036890001501888037,0.01091766357421875,0.00044999999227002263,0.01091766357421875,0.0003750999749172479,0.01091766357421875,0.0003529000096023083
0.0115966796875,0.0003307000151835382,1,0.0115966796875,0.0004209999751765281,0.0115966796875,0.00047840000479482114,0.0115966796875,0.00038670000503771007,0.0115966796875,0.00036470001214183867
0.0115966796875,0.00014749998808838427,1,0.0115966796875,0.00022750001517124474,0.0115966796875,0.00020260000019334257,0.0115966796875,0.00016460000188089907,0.0115966796875,0.00016490000416524708
0.01230621337890625,0.0003302999830339104,1,0.01230621337890625,0.00045780002255924046,0.01230621337890625,0.0004721000150311738,0.01230621337890625,0.00037590001011267304,0.01230621337890625,0.00039549998473376036
0.0130462646484375,0.0003769999893847853,1,0.0130462646484375,0.0004872000135947019,0.0130462646484375,0.0005031000182498246,0.0130462646484375,0.00039950001519173384,0.0130462646484375,0.00038109999150037766
0.01381683349609375,0.00037399999564513564,1,0.01381683349609375,0.00041019998025149107,0.01381683349609375,0.0004826999793294817,0.01381683349609375,0.0003972999984398484,0.01381683349609375,0.00043299997923895717
