mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_radius,param_min_samples,param_decay,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0.8656463623046875,0.0,0.09754467010498047,0.0,0.223,10,1366,"{'radius': 0.223, 'min_samples': 10, 'decay': 1366}",0.0,0.0,0.0,23
0.9805853366851807,0.0,0.0903010368347168,0.0,0.223,4,1366,"{'radius': 0.223, 'min_samples': 4, 'decay': 1366}",0.0,0.0,0.0,23
0.7983181476593018,0.0,0.094207763671875,0.0,0.112,16,1788,"{'radius': 0.112, 'min_samples': 16, 'decay': 1788}",0.03175917007678451,0.03175917007678451,0.0,17
0.729428768157959,0.0,0.1090250015258789,0.0,0.056,20,1366,"{'radius': 0.056, 'min_samples': 20, 'decay': 1366}",0.12007048454530284,0.12007048454530284,0.0,16
0.7924458980560303,0.0,0.006002187728881836,0.0,0.001,20,100,"{'radius': 0.001, 'min_samples': 20, 'decay': 100}",0.0,0.0,0.0,23
0.9766933917999268,0.0,0.10532784461975098,0.0,0.056,2,311,"{'radius': 0.056, 'min_samples': 2, 'decay': 311}",0.0,0.0,0.0,23
0.8368444442749023,0.0,0.10007905960083008,0.0,0.223,20,100,"{'radius': 0.223, 'min_samples': 20, 'decay': 100}",0.0,0.0,0.0,23
0.8678462505340576,0.0,0.1050870418548584,0.0,0.389,16,1155,"{'radius': 0.389, 'min_samples': 16, 'decay': 1155}",0.0,0.0,0.0,23
0.9839296340942383,0.0,0.11302447319030762,0.0,0.389,8,1155,"{'radius': 0.389, 'min_samples': 8, 'decay': 1155}",0.0,0.0,0.0,23
0.844733715057373,0.0,0.11408591270446777,0.0,0.056,10,100,"{'radius': 0.056, 'min_samples': 10, 'decay': 100}",0.29736660370395346,0.29736660370395346,0.0,6
0.9479260444641113,0.0,0.08401942253112793,0.0,0.167,12,944,"{'radius': 0.167, 'min_samples': 12, 'decay': 944}",0.0,0.0,0.0,23
0.9419193267822266,0.0,0.11002421379089355,0.0,0.278,20,2000,"{'radius': 0.278, 'min_samples': 20, 'decay': 2000}",0.0,0.0,0.0,23
0.9149665832519531,0.0,0.12010645866394043,0.0,0.167,4,1577,"{'radius': 0.167, 'min_samples': 4, 'decay': 1577}",0.0,0.0,0.0,23
0.8248975276947021,0.0,0.06401586532592773,0.0,0.223,8,100,"{'radius': 0.223, 'min_samples': 8, 'decay': 100}",0.0,0.0,0.0,23
1.0059258937835693,0.0,0.09609365463256836,0.0,0.5,8,1366,"{'radius': 0.5, 'min_samples': 8, 'decay': 1366}",0.0,0.0,0.0,23
0.9039030075073242,0.0,0.10609650611877441,0.0,0.278,8,100,"{'radius': 0.278, 'min_samples': 8, 'decay': 100}",0.0,0.0,0.0,23
0.9315102100372314,0.0,0.09105110168457031,0.0,0.445,10,311,"{'radius': 0.445, 'min_samples': 10, 'decay': 311}",0.0,0.0,0.0,23
0.8626253604888916,0.0,0.09002995491027832,0.0,0.278,12,944,"{'radius': 0.278, 'min_samples': 12, 'decay': 944}",0.0,0.0,0.0,23
0.8496201038360596,0.0,0.08803534507751465,0.0,0.278,18,1788,"{'radius': 0.278, 'min_samples': 18, 'decay': 1788}",0.0,0.0,0.0,23
0.8986449241638184,0.0,0.09002351760864258,0.0,0.389,16,1366,"{'radius': 0.389, 'min_samples': 16, 'decay': 1366}",0.0,0.0,0.0,23
1.0343902111053467,0.0,0.09502434730529785,0.0,0.334,18,944,"{'radius': 0.334, 'min_samples': 18, 'decay': 944}",0.0,0.0,0.0,23
0.85331130027771,0.0,0.09401845932006836,0.0,0.278,18,1366,"{'radius': 0.278, 'min_samples': 18, 'decay': 1366}",0.0,0.0,0.0,23
0.893317461013794,0.0,0.10002326965332031,0.0,0.389,2,733,"{'radius': 0.389, 'min_samples': 2, 'decay': 733}",0.0,0.0,0.0,23
0.874316930770874,0.0,0.08501696586608887,0.0,0.445,8,522,"{'radius': 0.445, 'min_samples': 8, 'decay': 522}",0.0,0.0,0.0,23
0.8332867622375488,0.0,0.08401942253112793,0.0,0.278,20,733,"{'radius': 0.278, 'min_samples': 20, 'decay': 733}",0.0,0.0,0.0,23
