mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_samples_init,param_mu,param_epsilon,param_decaying_factor,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
5.302192211151123,0.0,4.792073488235474,0.0,280,90.317,0.03,0.07,"{'n_samples_init': 280, 'mu': 90.317, 'epsilon': 0.03, 'decaying_factor': 0.07}",0.38767622532482243,0.38767622532482243,0.0,47
2.7966244220733643,0.0,3.7888572216033936,0.0,60,23.651,0.02,0.07,"{'n_samples_init': 60, 'mu': 23.651, 'epsilon': 0.02, 'decaying_factor': 0.07}",0.42169881932112285,0.42169881932112285,0.0,21
3.879870891571045,0.0,4.678049802780151,0.0,60,34.762,0.01,0.02,"{'n_samples_init': 60, 'mu': 34.762, 'epsilon': 0.01, 'decaying_factor': 0.02}",0.4134511502974437,0.4134511502974437,0.0,29
76.00505065917969,0.0,45.523218631744385,0.0,280,12.54,0.05,0.05,"{'n_samples_init': 280, 'mu': 12.54, 'epsilon': 0.05, 'decaying_factor': 0.05}",0.4630184456028704,0.4630184456028704,0.0,3
3.745847463607788,0.0,3.476774215698242,0.0,390,79.206,0.09,0.03,"{'n_samples_init': 390, 'mu': 79.206, 'epsilon': 0.09, 'decaying_factor': 0.03}",0.33949079427493595,0.33949079427493595,0.0,78
65.34866881370544,0.0,51.24349021911621,0.0,335,1.429,0.07,0.04,"{'n_samples_init': 335, 'mu': 1.429, 'epsilon': 0.07, 'decaying_factor': 0.04}",0.4165320704669737,0.4165320704669737,0.0,27
16.814773082733154,0.0,8.450896263122559,0.0,500,23.651,0.06,0.1,"{'n_samples_init': 500, 'mu': 23.651, 'epsilon': 0.06, 'decaying_factor': 0.1}",0.41198495791259704,0.41198495791259704,0.0,32
3.690823793411255,0.0,4.7280614376068115,0.0,60,68.095,0.06,0.03,"{'n_samples_init': 60, 'mu': 68.095, 'epsilon': 0.06, 'decaying_factor': 0.03}",0.34133191591037865,0.34133191591037865,0.0,76
1.4583179950714111,0.0,0.6421387195587158,0.0,5,23.651,0.1,0.09,"{'n_samples_init': 5, 'mu': 23.651, 'epsilon': 0.1, 'decaying_factor': 0.09}",0.0,0.0,0.0,91
1.5123391151428223,0.0,0.5921366214752197,0.0,60,79.206,0.08,0.07,"{'n_samples_init': 60, 'mu': 79.206, 'epsilon': 0.08, 'decaying_factor': 0.07}",0.0,0.0,0.0,91
3.798854351043701,0.0,4.7870774269104,0.0,60,34.762,0.05,0.01,"{'n_samples_init': 60, 'mu': 34.762, 'epsilon': 0.05, 'decaying_factor': 0.01}",0.3901614739606468,0.3901614739606468,0.0,45
3.261732578277588,0.0,3.4087626934051514,0.0,225,79.206,0.01,0.05,"{'n_samples_init': 225, 'mu': 79.206, 'epsilon': 0.01, 'decaying_factor': 0.05}",0.3977572017006778,0.3977572017006778,0.0,41
3.816859006881714,0.0,4.73905611038208,0.0,115,45.873,0.06,0.01,"{'n_samples_init': 115, 'mu': 45.873, 'epsilon': 0.06, 'decaying_factor': 0.01}",0.3775929536099173,0.3775929536099173,0.0,54
4.543008089065552,0.0,3.237736701965332,0.0,390,90.317,0.03,0.1,"{'n_samples_init': 390, 'mu': 90.317, 'epsilon': 0.03, 'decaying_factor': 0.1}",0.3889769730160456,0.3889769730160456,0.0,46
7.878765344619751,0.0,5.732292652130127,0.0,445,79.206,0.05,0.02,"{'n_samples_init': 445, 'mu': 79.206, 'epsilon': 0.05, 'decaying_factor': 0.02}",0.401168009542638,0.401168009542638,0.0,39
6.137375116348267,0.0,5.474232912063599,0.0,390,34.762,0.04,0.02,"{'n_samples_init': 390, 'mu': 34.762, 'epsilon': 0.04, 'decaying_factor': 0.02}",0.42234380108178554,0.42234380108178554,0.0,20
608.4805424213409,0.0,254.59512853622437,0.0,445,1.429,0.02,0.08,"{'n_samples_init': 445, 'mu': 1.429, 'epsilon': 0.02, 'decaying_factor': 0.08}",0.352464230196105,0.352464230196105,0.0,70
4.527010440826416,0.0,3.1036901473999023,0.0,500,90.317,0.07,0.09,"{'n_samples_init': 500, 'mu': 90.317, 'epsilon': 0.07, 'decaying_factor': 0.09}",0.3485713872246465,0.3485713872246465,0.0,71
11.174505710601807,0.0,11.862661600112915,0.0,115,12.54,0.07,0.02,"{'n_samples_init': 115, 'mu': 12.54, 'epsilon': 0.07, 'decaying_factor': 0.02}",0.423013157778146,0.423013157778146,0.0,19
8.754966020584106,0.0,2.0014448165893555,0.0,445,101.429,0.01,0.04,"{'n_samples_init': 445, 'mu': 101.429, 'epsilon': 0.01, 'decaying_factor': 0.04}",0.3971428300874287,0.3971428300874287,0.0,42
5.63025164604187,0.0,5.161158084869385,0.0,225,45.873,0.09,0.02,"{'n_samples_init': 225, 'mu': 45.873, 'epsilon': 0.09, 'decaying_factor': 0.02}",0.3384969532453409,0.3384969532453409,0.0,79
4.77807092666626,0.0,3.958885908126831,0.0,115,56.984,0.06,0.1,"{'n_samples_init': 115, 'mu': 56.984, 'epsilon': 0.06, 'decaying_factor': 0.1}",0.3646002315582493,0.3646002315582493,0.0,62
8.598926544189453,0.0,4.6180384159088135,0.0,500,68.095,0.07,0.03,"{'n_samples_init': 500, 'mu': 68.095, 'epsilon': 0.07, 'decaying_factor': 0.03}",0.3252891273846502,0.3252891273846502,0.0,85
4.4259934425354,0.0,1.4023139476776123,0.0,280,12.54,0.01,0.01,"{'n_samples_init': 280, 'mu': 12.54, 'epsilon': 0.01, 'decaying_factor': 0.01}",0.4339621136603478,0.4339621136603478,0.0,8
2.521555185317993,0.0,3.031680107116699,0.0,225,45.873,0.03,0.03,"{'n_samples_init': 225, 'mu': 45.873, 'epsilon': 0.03, 'decaying_factor': 0.03}",0.4122341124260153,0.4122341124260153,0.0,31
18.516149759292603,0.0,14.88933801651001,0.0,335,1.429,0.1,0.08,"{'n_samples_init': 335, 'mu': 1.429, 'epsilon': 0.1, 'decaying_factor': 0.08}",0.4615046384749089,0.4615046384749089,0.0,4
151.16792392730713,0.0,106.49389290809631,0.0,335,1.429,0.04,0.02,"{'n_samples_init': 335, 'mu': 1.429, 'epsilon': 0.04, 'decaying_factor': 0.02}",0.4157948509816434,0.4157948509816434,0.0,28
1.899425983428955,0.0,0.7461695671081543,0.0,115,34.762,0.09,0.1,"{'n_samples_init': 115, 'mu': 34.762, 'epsilon': 0.09, 'decaying_factor': 0.1}",0.0,0.0,0.0,91
5.734288215637207,0.0,4.762068748474121,0.0,335,45.873,0.01,0.02,"{'n_samples_init': 335, 'mu': 45.873, 'epsilon': 0.01, 'decaying_factor': 0.02}",0.4234363891256314,0.4234363891256314,0.0,17
4.687063932418823,0.0,3.5747923851013184,0.0,390,45.873,0.01,0.04,"{'n_samples_init': 390, 'mu': 45.873, 'epsilon': 0.01, 'decaying_factor': 0.04}",0.4234170592956708,0.4234170592956708,0.0,18
2.604581356048584,0.0,3.5848164558410645,0.0,5,56.984,0.02,0.02,"{'n_samples_init': 5, 'mu': 56.984, 'epsilon': 0.02, 'decaying_factor': 0.02}",0.3858599261482114,0.3858599261482114,0.0,48
4.796082258224487,0.0,5.057127952575684,0.0,280,101.429,0.05,0.1,"{'n_samples_init': 280, 'mu': 101.429, 'epsilon': 0.05, 'decaying_factor': 0.1}",0.3614272084779948,0.3614272084779948,0.0,67
52.53278422355652,0.0,28.519407987594604,0.0,445,23.651,0.05,0.04,"{'n_samples_init': 445, 'mu': 23.651, 'epsilon': 0.05, 'decaying_factor': 0.04}",0.46099638750349253,0.46099638750349253,0.0,5
3.889864921569824,0.0,3.0556840896606445,0.0,280,56.984,0.02,0.01,"{'n_samples_init': 280, 'mu': 56.984, 'epsilon': 0.02, 'decaying_factor': 0.01}",0.4114940567503163,0.4114940567503163,0.0,35
86.75146794319153,0.0,133.77502918243408,0.0,500,1.429,0.05,0.05,"{'n_samples_init': 500, 'mu': 1.429, 'epsilon': 0.05, 'decaying_factor': 0.05}",0.40738373796201677,0.40738373796201677,0.0,38
20.104512453079224,0.0,19.067277193069458,0.0,445,45.873,0.07,0.01,"{'n_samples_init': 445, 'mu': 45.873, 'epsilon': 0.07, 'decaying_factor': 0.01}",0.3089824982853982,0.3089824982853982,0.0,86
36.35815453529358,0.0,42.467528104782104,0.0,225,1.429,0.06,0.1,"{'n_samples_init': 225, 'mu': 1.429, 'epsilon': 0.06, 'decaying_factor': 0.1}",0.43583267213687904,0.43583267213687904,0.0,7
6.094359874725342,0.0,4.985119342803955,0.0,335,90.317,0.06,0.08,"{'n_samples_init': 335, 'mu': 90.317, 'epsilon': 0.06, 'decaying_factor': 0.08}",0.3665363166559231,0.3665363166559231,0.0,60
4.156920909881592,0.0,3.316751003265381,0.0,500,79.206,0.07,0.02,"{'n_samples_init': 500, 'mu': 79.206, 'epsilon': 0.07, 'decaying_factor': 0.02}",0.3445172109736184,0.3445172109736184,0.0,72
3.2917299270629883,0.0,3.0546953678131104,0.0,280,56.984,0.03,0.08,"{'n_samples_init': 280, 'mu': 56.984, 'epsilon': 0.03, 'decaying_factor': 0.08}",0.4117911338330818,0.4117911338330818,0.0,34
1.8474164009094238,0.0,0.8842062950134277,0.0,60,68.095,0.1,0.08,"{'n_samples_init': 60, 'mu': 68.095, 'epsilon': 0.1, 'decaying_factor': 0.08}",0.0,0.0,0.0,91
9.039029121398926,0.0,4.624035835266113,0.0,500,34.762,0.01,0.05,"{'n_samples_init': 500, 'mu': 34.762, 'epsilon': 0.01, 'decaying_factor': 0.05}",0.4279232766478874,0.4279232766478874,0.0,11
2.8916397094726562,0.0,2.8146374225616455,0.0,170,45.873,0.03,0.01,"{'n_samples_init': 170, 'mu': 45.873, 'epsilon': 0.03, 'decaying_factor': 0.01}",0.4098617566718846,0.4098617566718846,0.0,37
4.028900146484375,0.0,4.463005304336548,0.0,115,79.206,0.04,0.02,"{'n_samples_init': 115, 'mu': 79.206, 'epsilon': 0.04, 'decaying_factor': 0.02}",0.36690901957621036,0.36690901957621036,0.0,59
2.77462100982666,0.0,3.249737024307251,0.0,225,12.54,0.03,0.02,"{'n_samples_init': 225, 'mu': 12.54, 'epsilon': 0.03, 'decaying_factor': 0.02}",0.42902814641069076,0.42902814641069076,0.0,9
3.0076708793640137,0.0,2.254514455795288,0.0,5,79.206,0.05,0.08,"{'n_samples_init': 5, 'mu': 79.206, 'epsilon': 0.05, 'decaying_factor': 0.08}",0.1557636934380344,0.1557636934380344,0.0,90
3.266740560531616,0.0,3.4757802486419678,0.0,225,23.651,0.01,0.06,"{'n_samples_init': 225, 'mu': 23.651, 'epsilon': 0.01, 'decaying_factor': 0.06}",0.4280469314175483,0.4280469314175483,0.0,10
10.29430627822876,0.0,6.82253360748291,0.0,445,45.873,0.09,0.06,"{'n_samples_init': 445, 'mu': 45.873, 'epsilon': 0.09, 'decaying_factor': 0.06}",0.2898914573327027,0.2898914573327027,0.0,87
2.8686466217041016,0.0,3.3547632694244385,0.0,60,79.206,0.03,0.06,"{'n_samples_init': 60, 'mu': 79.206, 'epsilon': 0.03, 'decaying_factor': 0.06}",0.36721502184601446,0.36721502184601446,0.0,58
